Rank,Player Name,Position
1,Adrian Peterson,RB
2,LeSean McCoy,RB
3,Jamaal Charles,RB
4,Matt Forte,RB
5,Marshawn Lynch,RB
6,Eddie Lacy,RB
7,Calvin Johnson,WR
8,Peyton Manning,QB
9,Arian Foster,RB
10,Jimmy Graham,TE
11,Doug Martin,RB
12,Aaron Rodgers,QB
13,DeMarco Murray,RB
14,Le'Veon Bell,RB
15,Demaryius Thomas,WR
16,A.J. Green,WR
17,Drew Brees,QB
18,Dez Bryant,WR
19,Zac Stacy,RB
20,Brandon Marshall,WR
21,Julio Jones,WR
22,Jordy Nelson,WR
23,Alfred Morris,RB
24,Alshon Jeffery,WR
25,Montee Ball,RB
26,Giovani Bernard,RB
27,Julius Thomas,TE
28,Antonio Brown,WR
29,Reggie Bush,RB
30,Randall Cobb,WR
31,Andre Johnson,WR
32,Ben Tate,RB
33,Vincent Jackson,WR
34,Larry Fitzgerald,WR
35,Rob Gronkowski,TE
36,Pierre Garcon,WR
37,Ryan Mathews,RB
38,Keenan Allen,WR
39,Matthew Stafford,QB
40,C.J. Spiller,RB
41,Frank Gore,RB
42,Victor Cruz,WR
43,Roddy White,WR
44,DeSean Jackson,WR
45,Cam Newton,QB
46,Andre Ellington,RB
47,Wes Welker,WR
48,Andrew Luck,QB
49,Percy Harvin,WR
50,Vernon Davis,TE
51,Trent Richardson,RB
52,Toby Gerhart,RB
53,Michael Crabtree,WR
54,Ray Rice,RB
55,Rashad Jennings,RB
56,Torrey Smith,WR
57,Chris Johnson,RB
58,Steven Jackson,RB
59,Michael Floyd,WR
60,Joique Bell,RB
61,Cordarrelle Patterson,WR
62,Robert Griffin III,QB
63,Nick Foles,QB
64,Julian Edelman,WR
65,Jeremy Maclin,WR
66,Shane Vereen,RB
67,T.Y. Hilton,WR
68,Stevan Ridley,RB
69,Reggie Wayne,WR
70,Marques Colston,WR
71,Colin Kaepernick,QB
72,Bishop Sankey,RB
73,Emmanuel Sanders,WR
74,Golden Tate,WR
75,Jason Witten,TE
76,Kendall Wright,WR
77,Pierre Thomas,RB
78,Sammy Watkins,WR
79,Mike Wallace,WR
80,Maurice Jones-Drew,RB
81,Eric Decker,WR
82,Terrance Williams,WR
83,Cecil Shorts,WR
84,Fred Jackson,RB
85,Darren Sproles,RB
86,DeAngelo Williams,RB
87,Khiry Robinson,RB
88,Anquan Boldin,WR
89,Lamar Miller,RB
90,DeAndre Hopkins,WR
91,Chris Ivory,RB
92,Danny Woodhead,RB
93,Knowshon Moreno,RB
94,Riley Cooper,WR
95,Danny Amendola,WR
96,Jordan Cameron,TE
97,Greg Jennings,WR
98,Seattle Seahawks,DEF
99,Russell Wilson,QB
100,Matt Ryan,QB
101,Steve Smith,WR
102,Shonn Greene,RB
103,Darren McFadden,RB
104,Greg Olsen,TE
105,Bernard Pierce,RB
106,Dwayne Bowe,WR
107,Mark Ingram,RB
108,Christine Michael,RB
109,Donald Brown,RB
110,Dennis Pitta,TE
111,Tom Brady,QB
112,Jeremy Hill,RB
113,Justin Hunter,WR
114,Terrance West,RB
115,Tony Romo,QB
116,LeGarrette Blount,RB
117,Hakeem Nicks,WR
118,Philip Rivers,QB
119,Jay Cutler,QB
120,Mike Evans,WR
121,Carlos Hyde,RB
122,Tre Mason,RB
123,Ben Roethlisberger,QB
124,James Starks,RB
125,Rueben Randle,WR
126,Knile Davis,RB
127,C.J. Anderson,RB
128,Roy Helu,RB
129,Andre Williams,RB
130,Jonathan Stewart,RB
131,Tavon Austin,WR
132,Andy Dalton,QB
133,Jarrett Boykin,WR
134,Devonta Freeman,RB
135,Eli Manning,QB
136,Brandin Cooks,WR
137,Carolina Panthers,DEF
138,Kyle Rudolph,TE
139,Markus Wheaton,WR
140,San Francisco 49ers,DEF
141,Denver Broncos,DEF
142,Arizona Cardinals,DEF
143,Cincinnati Bengals,DEF
144,St. Louis Rams,DEF
145,Kansas City Chiefs,DEF
146,Jordan Reed,TE
147,James Jones,WR
148,New England Patriots,DEF
149,Buffalo Bills,DEF
150,Ahmad Bradshaw,RB
151,Matt Prater,K
152,Stephen Gostkowski,K
153,Justin Tucker,K
154,Mason Crosby,K
155,Steven Hauschka,K
156,Phil Dawson,K
157,Nick Novak,K
158,Adam Vinatieri,K
159,Blair Walsh,K
160,Dan Bailey,K
161,Steve Johnson,WR
162,Carson Palmer,QB
163,Jordan Todman,RB
164,Latavius Murray,RB
165,Andrew Hawkins,WR
166,Ka'Deem Carey,RB
167,Brandon LaFell,WR
168,Josh McCown,QB
169,BenJarvus Green-Ellis,RB
170,Doug Baldwin,WR
171,Chris Polk,RB
172,Bryce Brown,RB
173,Joe Flacco,QB
174,Martellus Bennett,TE
175,Dexter McCluster,RB
176,Kenny Stills,WR
177,Ryan Tannehill,QB
178,Lance Dunbar,RB
179,Denarius Moore,WR
180,Johnny Manziel,QB
181,Jonathan Dwyer,RB
182,Alex Smith,QB
183,Marcel Reece,RB
184,Delanie Walker,TE
185,Rod Streater,WR
186,Robert Turbin,RB
187,Marqise Lee,WR
188,Odell Beckham,WR
189,Tampa Bay Buccaneers,DEF
190,New Orleans Saints,DEF
191,Nick Folk,K
192,Robbie Gould,K
193,Mike Tolbert,RB
194,Zach Ertz,TE
195,Brian Hartline,WR
196,Charles Clay,TE
197,Aaron Dobson,WR
198,Brandon Bolden,RB
199,Jerricho Cotchery,WR
200,Kelvin Benjamin,WR
